fullname,shortname,category
Open Elective Course/Management,Comput-Sc/Eng OEC/Man.,
Minor Specialization Course-I/Departmental Honours Course-I,Comput-Sc/Eng MSC1/DHC1,
,,
Departmental Elective Course-III-,Comput-Sc/Eng DEC3,
Departmental Elective Course-IV,Comput-Sc/Eng DEC4,
Training Seminar,Comput-Sc/Eng TS,
B.Tech. Project,Comput-Sc/Eng ,
Minor Specialization Course-II,Comput-Sc/Eng,
Departmental Honours Course-II,Comput-Sc/Eng,
Minor Specialization Course-III/Departmental Honours Course-III,Comput-Sc/Eng,
Departmental Elective Course-V,Comput-Sc/Eng,
Departmental Elective Course-VI,Comput-Sc/Eng,
B.Tech. Project,Comput-Sc/Eng,
Minor Specialization Course-IV/Departmental Honours Course-IV,Comput-Sc/Eng,
Departmental Honours Course-IV(optional),Comput-Sc/Eng,
Minor Specialization Course-V/Departmental Honours Course-V(Optional),Comput-Sc/Eng,
,,
,,
,,
Mathematics-I,Elect-Commu/Eng,
Electrodynamics and Optics,Elect-Commu/Eng,
Introduction to Environmental Studies,Elect-Commu/Eng,
Communication Skills (Basic),Elect-Commu/Eng,
Communication Skills (Advance),Elect-Commu/Eng,
Introduction to Electronics and Communication Engineering,Elect-Commu/Eng,
Fundamentals of Object Oriented Programming,Elect-Commu/Eng,
Mathematical Methods,Elect-Commu/Eng,
Quantum Mechanics and Statistical Mechanics,Elect-Commu/Eng,
Data Structures,Elect-Commu/Eng,
Digital Logic Design,Elect-Commu/Eng,
Semiconductor Devices,Elect-Commu/Eng,
Electrical Science,Elect-Commu/Eng,
,,
Mechanical Engineering Drawing,Elect-Commu/Eng,
Signals and Systems,Elect-Commu/Eng,
Analog Circuits,Elect-Commu/Eng,
Computer Architecture and Microprocessors,Elect-Commu/Eng,
Electronic Network Theory (Engineering Analysis and Design course),Elect-Commu/Eng,
Elective Course,Elect-Commu/Eng,
Electrical and Electronic Materials,Elect-Commu/Eng,
Probability and Statistics,Elect-Commu/Eng,
Principles of Digital Communication,Elect-Commu/Eng,
Automatic Control Systems,Elect-Commu/Eng,
Engineering Electromagnetics,Elect-Commu/Eng,
Digital Electronic Circuits Laboratory,Elect-Commu/Eng,
,,
Communication Systems and Techniques -,Elect-Commu/Eng,
Antenna Theory,Elect-Commu/Eng,
Microwave Engineering,Elect-Commu/Eng,
"Microelectronic Devices, Technology and circuit",Elect-Commu/Eng,
IC Application Laboratory,Elect-Commu/Eng,
Departmental Elective Course- -,Elect-Commu/Eng,
Management Studies Elective Course,Elect-Commu/Eng,
Technical Communication,Elect-Commu/Eng,
Industry-oriented Problem / Case study /Lab-based Project / Practical Problem,Elect-Commu/Eng,
Digital Signal Processing,Elect-Commu/Eng,
RF and Mixed Signals Circuits -,Elect-Commu/Eng,
Communication Systems Laboratory,Elect-Commu/Eng,
Microwave Laboratory,Elect-Commu/Eng,
Departmental Elective Course,Elect-Commu/Eng,
OEC Open Elective Course,Elect-Commu/Eng,
Minor Specialization Course-I/Departmental Honours Course-I,Elect-Commu/Eng,
,,
Departmental Elective Course-,Elect-Commu/Eng,
Departmental Elective Course-IV,Elect-Commu/Eng,
MSC2/DHC2 Minor Specialization Course-II/Departmental Honours courses-II,Elect-Commu/Eng,
MSC3/DHC3 Minor Specialization Course-III/Departmental Honours Course-II,Elect-Commu/Eng,
Training Seminar,Elect-Commu/Eng,
Departmental Elective Course-V,Elect-Commu/Eng,
Departmental Elective Course-VI -,Elect-Commu/Eng,
MSC4/DHC4 Minor Specialization Course-IV/Departmental Honours Courses-IV,Elect-Commu/Eng,
MSC5/DHC5 Minor Specialization on Course-V/Departmental Honours Course-V,Elect-Commu/Eng,
B.Tech. Project 2,Elect-Commu/Eng,
,,
,,
,,
Mathematics-I,Elect/Eng1,
Electromagnetic Field Theory,Elect/Eng1,
Introduction to Environmental Science,Elect/Eng1,
Communication Skills (Basic) Communication Skills (Advanced),Elect/Eng1,
Ethics and Self-Awareness,Elect/Eng1,
Introduction to Electrical Engineering,Elect/Eng1,
Programming in Java,Elect/Eng1,
Mathematics-II,Elect/Eng1,
Modern Physics,Elect/Eng1,
Engineering Thermodynamics,Elect/Eng1,
Network Theory,Elect/Eng1,
Electrical Measurement and Measuring Instruments,Elect/Eng1,
Analog Electronics,Elect/Eng1,
,,
Electrical Machines-I,Elect/Eng1,
Digital Electronics and Circuits,Elect/Eng1,
Design of Electronic Circuits,Elect/Eng1,
Control Systems,Elect/Eng1,
Humanities and Social Sciences Elective Course,Elect/Eng1,
Engineering Analysis and Design,Elect/Eng1,
Electrical and Electronic Materials,Elect/Eng1,
Electrical Machines-II,Elect/Eng1,
Microprocessors and Peripheral Devices,Elect/Eng1,
Power Transmission and Distribution,Elect/Eng1,
Applied Instrumentation,Elect/Eng1,
,,
Power System Analysis & Control,Elect/Eng1,
Power Electronics,Elect/Eng1,
Advanced Control Systems,Elect/Eng1,
Departmental Elective Course-I,Elect/Eng1,
Open Elective Course,Elect/Eng1,
Technical Communication Industry Oriented Problem,Elect/Eng1,
Electric Drives,Elect/Eng1,
Protection & Switchgear,Elect/Eng1,
General Viva,Elect/Eng1,
Departmental Elective Course-II,Elect/Eng1,
Management Studies Elective Course,Elect/Eng1,
Minor Specialization Course – I Departmental Honour Course-I,Elect/Eng1,
,,
Departmental Elective Course-III,Elect/Eng1,
Departmental Elective Course-IV,Elect/Eng1,
Minor Specialization Course –II Departmental Honour Course – II,Elect/Eng1,
Minor Specialization Course –III Departmental Honour Course – III,Elect/Eng1,
Training Seminar,Elect/Eng1,
B.Tech. Project (Contd. ),Elect/Eng1,
Minor Specialization Course-IV Departmental Honour Course – IV,Elect/Eng1,
Minor Specialization Course-V Departmental Honour Course – V,Elect/Eng1,
,,
,,
,,
General Chemistry for Engineers,Elect/Eng,
Introduction to Experimentation 1,Elect/Eng,
Expository Writing,Elect/Eng,
Engineering Orientation,Elect/Eng,
Calculus I Math/Physics,Elect/Eng,
Analytical Physics IA,Elect/Eng,
Intro to Computers for Engineers,Elect/Eng,
Engineering Mechanics,Elect/Eng,
Calculus II Math/Phy,Elect/Eng,
Introduction to Microeconomics,Elect/Eng,
,,
Principles of E.E. I Lab 1,Elect/Eng,
Principles of E.E. I Lab 2,Elect/Eng,
Digital Logic Design,Elect/Eng,
Digital Logic Design Lab,Elect/Eng,
Multivariable Calculus,Elect/Eng,
Analytical Physics IIA,Elect/Eng,
Analytical Physics II Lab,Elect/Eng,
Principles of Electrical Engg. II,Elect/Eng,
Principles of E.E. II Lab,Elect/Eng,
Probability & Random Processes,Elect/Eng,
Programming Methodology I,Elect/Eng,
Programming Method. I. Lab,Elect/Eng,
Differential Equations for Engg/Phy,Elect/Eng,
,,
Computer Arch.& Asmb. Lang,Elect/Eng,
Computer Arch. Lab,Elect/Eng,
Linear Systems & Signals,Elect/Eng,
Linear Systems & Signals Lab,Elect/Eng,
Electronic Devices,Elect/Eng,
Electronic Devices Lab,Elect/Eng,
Hum/Soc elective,Elect/Eng,
Technical elective,Elect/Eng,
Discrete Mathematics,Elect/Eng,
Digital Signal Processing,Elect/Eng,
Digital Signal Processing Lab,Elect/Eng,
Professionalism/Ethics,Elect/Eng,
Digital Electronics,Elect/Eng,
Digital Electronics Lab,Elect/Eng,
,,
Electrical elective,Elect/Eng,
Electrical elective,Elect/Eng,
Science Math Engg elective,Elect/Eng,
Technical elective,Elect/Eng,
Design elective,Elect/Eng,
Electrical elective,Elect/Eng,
General elective,Elect/Eng,
Hum/Soc elective,Elect/Eng,
,,
,,
,,
Mathematics-I,Int-Geo-Tech/Eng,
Mechanics,Int-Geo-Tech/Eng,
Introduction to Environmental Studies,Int-Geo-Tech/Eng,
Communication Skills (Basic),Int-Geo-Tech/Eng,
Communication Skills (Advance),Int-Geo-Tech/Eng,
Ethics and Self Awareness,Int-Geo-Tech/Eng,
Introduction to Earth Sciences,Int-Geo-Tech/Eng,
Computer Programming,Int-Geo-Tech/Eng,
General Chemistry-III,Int-Geo-Tech/Eng,
Numerical Methods,Int-Geo-Tech/Eng,
Physical Geology,Int-Geo-Tech/Eng,
Crystallography and Mineralogy,Int-Geo-Tech/Eng,
Engineering Thermodynamics,Int-Geo-Tech/Eng,
,,
Material Science,Int-Geo-Tech/Eng,
Basic Petrology,Int-Geo-Tech/Eng,
Paleontology,Int-Geo-Tech/Eng,
Structural Geology-I,Int-Geo-Tech/Eng,
HSS Elective Course*,Int-Geo-Tech/Eng,
Engineering Hydrology,Int-Geo-Tech/Eng,
Sedimentology,Int-Geo-Tech/Eng,
Stratigraphy,Int-Geo-Tech/Eng,
Igneous Petrology,Int-Geo-Tech/Eng,
Field Training-I,Int-Geo-Tech/Eng,
Elective Course,Int-Geo-Tech/Eng,
,,
Structural Geology-II,Int-Geo-Tech/Eng,
Metamorphic Petrology,Int-Geo-Tech/Eng,
Economic Geology,Int-Geo-Tech/Eng,
Departmental Elective Course-I,Int-Geo-Tech/Eng,
Open Elective Course,Int-Geo-Tech/Eng,
Technical Communication (Advanced),Int-Geo-Tech/Eng,
Mineral Exploration,Int-Geo-Tech/Eng,
Ore Geology,Int-Geo-Tech/Eng,
Geomorphology,Int-Geo-Tech/Eng,
Field Training-II,Int-Geo-Tech/Eng,
Departmental Elective Course-II,Int-Geo-Tech/Eng,
,,
Principles of Remote Sensing,Int-Geo-Tech/Eng,
Principles of Geographic,Int-Geo-Tech/Eng,
Information Systems,Int-Geo-Tech/Eng,
Hydrogeology,Int-Geo-Tech/Eng,
Engineering Geology,Int-Geo-Tech/Eng,
Petroleum Geology,Int-Geo-Tech/Eng,
Seminar-I,Int-Geo-Tech/Eng,
Geophysical Prospecting,Int-Geo-Tech/Eng,
Well Logging,Int-Geo-Tech/Eng,
Plate Tectonics,Int-Geo-Tech/Eng,
Departmental Elective Course-III,Int-Geo-Tech/Eng,
Departmental Elective Course-IV,Int-Geo-Tech/Eng,
,,
Comprehensive Viva Voce,Int-Geo-Tech/Eng,
Department Elective Course-V,Int-Geo-Tech/Eng,
Department Elective Course-VI,Int-Geo-Tech/Eng,
DEC,Int-Geo-Tech/Eng,
Seminar-II,Int-Geo-Tech/Eng,
Dissertation,Int-Geo-Tech/Eng,
,,
,,
,,
Mathematics-1,App/Math,
Mechanics,App/Math,
Introduction to Environmental Studies,App/Math,
Communication Skills (Basic),App/Math,
Communication Skills (Advance),App/Math,
Ethics and General Awareness,App/Math,
Introduction to Mathematical Sciences,App/Math,
Introduction to Computer Programming,App/Math,
Numerical Methods,App/Math,
Electromagnetic Theory,App/Math,
Linear Algebra,App/Math,
Real Analysis I,App/Math,
Data Structures,App/Math,
Fundamental of Electronics,App/Math,
,,
Solid Mechanics,App/Math,
Complex Analysis I,App/Math,
Discrete Mathematics,App/Math,
Ordinary and Partial Differential Equations,App/Math,
Design and Analysis of Algorithms,App/Math,
HSS Elective Course,App/Math,
Fluid Mechanics,App/Math,
Transform Techniques,App/Math,
Database Management System,App/Math,
Graph Theory,App/Math,
Number Theory,App/Math,
,,
Abstract Algebra I,App/Math,
Mathematical Statistics,App/Math,
Linear Programming,App/Math,
Department Elective I,App/Math,
Management Elective Course,App/Math,
Technical Communication,App/Math,
Math. Modeling & Simulation,App/Math,
Theory of Computation,App/Math,
Department Elective II,App/Math,
Open Elective-I,App/Math,
Minor Specialization Course,App/Math,
,,
Theory of Ordinary Differential Equations,App/Math,
Real Analysis II,App/Math,
Topology,App/Math,
Statistical Inference,App/Math,
Department Elective III,App/Math,
Open Elective II,App/Math,
Minor Specialization Course,App/Math,
Advanced Numerical Analysis,App/Math,
Abstract Algebra II,App/Math,
Nonlinear Programming,App/Math,
Theory of Partial Differential Equations,App/Math,
Complex Analysis II,App/Math,
Department Elective IV,App/Math,
Minor Specialization Course,App/Math,
,,
MA-601,App/Math,
Fluid Dynamics,App/Math,
Tensors and Differential Geometry,App/Math,
Functional Analysis,App/Math,
Seminar,App/Math,
Department Elective V,App/Math,
Department Elective VI,App/Math,
Dissertation,App/Math,
Minor Specialization Course,App/Math,
Minor Specialization Course,App/Math,
,,
,,
,,
Mathematics-I,Prod-Ind/Eng,
Mechanics,Prod-Ind/Eng,
Introduction to Environmental Studies,Prod-Ind/Eng,
Communication Skills (Basic),Prod-Ind/Eng,
Communication Skills (Advance),Prod-Ind/Eng,
Ethics and Self Awareness,Prod-Ind/Eng,
Introduction to Production and Industrial Engineering,Prod-Ind/Eng,
Programming and Data Structure,Prod-Ind/Eng,
Probability and Statistics,Prod-Ind/Eng,
Electromagnetic Theory,Prod-Ind/Eng,
Manufacturing Technology-I,Prod-Ind/Eng,
Engineering Drawing,Prod-Ind/Eng,
Fluid Mechanics,Prod-Ind/Eng,
Material Science,Prod-Ind/Eng,
,,
Solid Mechanics,Prod-Ind/Eng,
Manufacturing Technology-II,Prod-Ind/Eng,
Thermal Engineering,Prod-Ind/Eng,
Theory of Machines,Prod-Ind/Eng,
Engineering Analysis and Design,Prod-Ind/Eng,
Elective,Prod-Ind/Eng,
Electrical Science,Prod-Ind/Eng,
Production Planning and Control-,Prod-Ind/Eng,
Machine Design,Prod-Ind/Eng,
Engineering Economy,Prod-Ind/Eng,
Theory of Production Processes,Prod-Ind/Eng,
Elective Course,Prod-Ind/Eng,
,,
Technical Communication,Prod-Ind/Eng,
Theory of Production Processes - II,Prod-Ind/Eng,
Operations Research,Prod-Ind/Eng,
Work System Design,Prod-Ind/Eng,
Departmental Elective Course-I,Prod-Ind/Eng,
Management Studies /Open Elective Course*,Prod-Ind/Eng,
Industry Oriented Problem/Case Study/Lab based project/ Practical Problem,Prod-Ind/Eng,
Quality Management,Prod-Ind/Eng,
Operations Management,Prod-Ind/Eng,
Departmental Elective Course-II,Prod-Ind/Eng,
Minor Specialization Course – I/,Prod-Ind/Eng,
Departmental Honours Course – I,Prod-Ind/Eng,
Management Studies /Open Elective Course*,Prod-Ind/Eng,
,,
B.Tech. Project 1,Prod-Ind/Eng,
Departmental Elective Course-III,Prod-Ind/Eng,
Departmental Elective Course-IV,Prod-Ind/Eng,
Minor Specialization Course- II/,Prod-Ind/Eng,
Departmental Honours Course – II,Prod-Ind/Eng,
Minor Specialization Course- III/,Prod-Ind/Eng,
Departmental Honours Course – III,Prod-Ind/Eng,
Training Seminar,Prod-Ind/Eng,
B.Tech. Project 2,Prod-Ind/Eng,
Departmental Elective Course-V,Prod-Ind/Eng,
Departmental Elective Course-VI,Prod-Ind/Eng,
Minor Specialization Course- IV/,Prod-Ind/Eng,
Departmental Honours Course - IV,Prod-Ind/Eng,
Minor Specialization Course- V/,Prod-Ind/Eng,
Departmental Honours Course - V,Prod-Ind/Eng,
,,
,,
,,
Chemistry I for Engineers,Mat/Sce,
Chemistry II for Engineers,Mat/Sce,
Intro to Experimentation,Mat/Sce,
Calculus II Math/Phys,Mat/Sce,
Expository Writing,Mat/Sce,
Analytical Physics IB,Mat/Sce,
Calculus I Math/Phys,Mat/Sce,
Intro Computers for Eng’g,Mat/Sce,
Analytical Physics IA,Mat/Sce,
Eng Mechanics:Statics,Mat/Sce,
Engineering Orientation Lec,Mat/Sce,
Hum/SocSci Elective,Mat/Sce,
Hum/SocSci Elective,Mat/Sce,
,,
Multivariable Calculus,Mat/Sce,
Differential Equations,Mat/Sce,
Analytical Physics IIA,Mat/Sce,
Materials Processing,Mat/Sce,
Analytical Physics IIA Lab,Mat/Sce,
Mat. Thermodynamics,Mat/Sce,
Statistics,Mat/Sce,
Physics of Materials,Mat/Sce,
Intro to MSE,Mat/Sce,
Laboratory I,Mat/Sce,
Crystal Chem & Struct,Mat/Sce,
,,
Materials Microprocessing,Mat/Sce,
Microeconomics,Mat/Sce,
Kinetics of Mat’l Processing,Mat/Sce,
EOM Properties of Mat’l,Mat/Sce,
Characterization of Materials,Mat/Sce,
Laboratory III,Mat/Sce,
Strength of Materials,Mat/Sce,
Senior MSE Lab I,Mat/Sce,
Laboratory II,Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
MSE Eng Design I,Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
,,
Senior MSE Lab II,Mat/Sce,
MSE Seminar,Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
MSE Eng Design I,Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
MSE Seminar,Mat/Sce,
Hum/SocSci Elective (300+),Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
General Elective,Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
Elective (Dept/Tech),Mat/Sce,
Hum/SocSci Elective (300+),Mat/Sce,
,,
,,
,,
Mathematics-I,Tech-Meta-Mat/Eng,
Modern Physics,Tech-Meta-Mat/Eng,
Introduction to Environmental Studies,Tech-Meta-Mat/Eng,
Communication Skills (Basic),Tech-Meta-Mat/Eng,
Communication Skills (Advance),Tech-Meta-Mat/Eng,
Ethics and Self Awareness,Tech-Meta-Mat/Eng,
Introduction to Metallurgical and Materials Engineering,Tech-Meta-Mat/Eng,
Computer Programming -,Tech-Meta-Mat/Eng,
General Chemistry-II,Tech-Meta-Mat/Eng,
Mathematical Methods,Tech-Meta-Mat/Eng,
Metallurgical Thermodynamics andkinetics,Tech-Meta-Mat/Eng,
Structural Metallurgy,Tech-Meta-Mat/Eng,
Metallography Lab,Tech-Meta-Mat/Eng,
Mechanical Engineering Drawing,Tech-Meta-Mat/Eng,
,,
Electrical Science,Tech-Meta-Mat/Eng,
Transport Phenomena,Tech-Meta-Mat/Eng,
Phase Transformation and Heat Treatment,Tech-Meta-Mat/Eng,
Mechanical Behaviour of Materials,Tech-Meta-Mat/Eng,
Electrical and Electronic Materials,Tech-Meta-Mat/Eng,
HSS Elective course*,Tech-Meta-Mat/Eng,
Fundamentals of Electronics,Tech-Meta-Mat/Eng,
Metal Casting and Joining,Tech-Meta-Mat/Eng,
Non-ferrous Metallurgy,Tech-Meta-Mat/Eng,
Engineering Polymers and Composites,Tech-Meta-Mat/Eng,
Engineering Analysis and Design,Tech-Meta-Mat/Eng,
HSS Elective course*,Tech-Meta-Mat/Eng,
,,
Mechanical Working of Metals,Tech-Meta-Mat/Eng,
Iron and Steel Making,Tech-Meta-Mat/Eng,
Materials Testing Lab,Tech-Meta-Mat/Eng,
Materials Characterization,Tech-Meta-Mat/Eng,
Departmental Elective Course – I,Tech-Meta-Mat/Eng,
Management Studies / Open Elective Course,Tech-Meta-Mat/Eng,
Technical Communication,Tech-Meta-Mat/Eng,
Industry Oriented Problem/ Case Study/ Lab based project/ Practical Problem,Tech-Meta-Mat/Eng,
Environmental Degradation of Materials,Tech-Meta-Mat/Eng,
Ceramics and Metal Powder Processing,Tech-Meta-Mat/Eng,
Departmental Elective Course – II,Tech-Meta-Mat/Eng,
Minor Specialization Course – I/,Tech-Meta-Mat/Eng,
Departmental Honours Course - I,Tech-Meta-Mat/Eng,
Management Studies / Open Elective Course,Tech-Meta-Mat/Eng,
,,
B.Tech. Project 1,Tech-Meta-Mat/Eng,
Departmental Elective Course – III,Tech-Meta-Mat/Eng,
Departmental Elective Course – IV,Tech-Meta-Mat/Eng,
Minor Specialization Course – II/,Tech-Meta-Mat/Eng,
Departmental Honours Course - II,Tech-Meta-Mat/Eng,
Minor Specialization Course – III/,Tech-Meta-Mat/Eng,
Departmental Honours Course - III,Tech-Meta-Mat/Eng,
Practical Training/ Internship,Tech-Meta-Mat/Eng,
B.Tech. Project 2,Tech-Meta-Mat/Eng,
Departmental Elective Course – V,Tech-Meta-Mat/Eng,
Departmental Elective Course – VI,Tech-Meta-Mat/Eng,
Minor Specialization Course – IV/,Tech-Meta-Mat/Eng,
Departmental Honours Course – IV,Tech-Meta-Mat/Eng,
Minor Specialization Course – V/,Tech-Meta-Mat/Eng,
Departmental Honours Course - V,Tech-Meta-Mat/Eng,
,,
,,
,,
Mathematics-I,Poly/Eng,
General Chemistry,Poly/Eng,
Introduction to Environmental Studies,Poly/Eng,
Communication skills (Basic),Poly/Eng,
Communication skills (Advanced),Poly/Eng,
Ethics and Self-Awareness,Poly/Eng,
A Introduction to Polymer Engineering 2,Poly/Eng,
Introduction to Computer Programming,Poly/Eng,
Mathematics-II,Poly/Eng,
Applied Physics,Poly/Eng,
Structure and Properties of Polymers,Poly/Eng,
Material and Energy Balance,Poly/Eng,
Fluid Mechanics,Poly/Eng,
Engineering Thermodynamics,Poly/Eng,
,,
Materials Science,Poly/Eng,
Polymer Chemistry,Poly/Eng,
Polymer Blends and Composites,Poly/Eng,
Engineering Analysis and Design,Poly/Eng,
Heat Transfer,Poly/Eng,
Elective Course 1,Poly/Eng,
Electrical Science,Poly/Eng,
Polymer Properties and Characterization,Poly/Eng,
Polymer Rheology,Poly/Eng,
Chemical Reaction Engineering,Poly/Eng,
Mass Transfer,Poly/Eng,
Elective Course 2,Poly/Eng,
,,
Polymer Product Technology,Poly/Eng,
Polymer Reaction Engineering,Poly/Eng,
Polymer Processing,Poly/Eng,
Departmental Elective-I,Poly/Eng,
Courses from Management Studies /Open elective course*,Poly/Eng,
Technical Communication,Poly/Eng,
Lab Based Project,Poly/Eng,
Rubber Material and Chemistry,Poly/Eng,
Process System Analysis and Control,Poly/Eng,
Departmental Elective-II,Poly/Eng,
Minor Specialization Course-I/epartmental Honours Course-I,Poly/Eng,
Departmental Honours Course-I,Poly/Eng,
Courses from Management Studies /Open elective course*,Poly/Eng,
,,
B. Tech. Project 1,Poly/Eng,
Departmental Elective-III,Poly/Eng,
Departmental Elective-IV,Poly/Eng,
Minor Specialization Course-II/Departmental Honours Course-II,Poly/Eng,
Minor Specialization Course-III/Departmental Honours Course-III,Poly/Eng,
Training and Seminar,Poly/Eng,
B. Tech. Project 2,Poly/Eng,
Departmental Elective-V,Poly/Eng,
Departmental Elective-VI,Poly/Eng,
Minor Specialization Course-IV/Departmental Honours Course-IV,Poly/Eng,
Minor Specialization Course-V/Departmental Honours Course-V,Poly/Eng,
,,
,,
,,
General Chemistry I,Petr/Eng,
Rhetoric & Composition,Petr/Eng,
Intro to Petroleum Engineering,Petr/Eng,
Calculus I,Petr/Eng,
History elective,Petr/Eng,
General Chemistry II,Petr/Eng,
General Chemistry II Lab,Petr/Eng,
ENGL Composition & Literature,Petr/Eng,
Physical Geology,Petr/Eng,
Calculus II,Petr/Eng,
,,
Fundamentals of Economics,Petr/Eng,
Structural Geology,Petr/Eng,
Differential Equations,Petr/Eng,
General Physics I,Petr/Eng,
Biology elective,Petr/Eng,
Statics & Mechanics,Petr/Eng,
Technical Writing,Petr/Eng,
Electrical Circuits,Petr/Eng,
Drilling Fluids,Petr/Eng,
Drilling Fluids Lab,Petr/Eng,
Literature elective,Petr/Eng,
,,
Thermodynamics,Petr/Eng,
Transport Phenomenon,Petr/Eng,
Phase Behavior,Petr/Eng,
Drilling Engineering,Petr/Eng,
Drilling Engineering Lab,Petr/Eng,
History or Literature elective,Petr/Eng,
MATH/STAT elective,Petr/Eng,
Industrial Economics & Finance,Petr/Eng,
Reservoir Fluid Flow,Petr/Eng,
Reservoir Fluid Flow Lab,Petr/Eng,
Petroleum Formation Evaluation,Petr/Eng,
Petroleum Formation Evaluation Lab,Petr/Eng,
Arts elective,Petr/Eng,
,,
enior Design I,Petr/Eng,
Well Planning & Construction,Petr/Eng,
Production Engineering,Petr/Eng,
Production Engineering Lab,Petr/Eng,
Reservoir Engineering,Petr/Eng,
Reservoir Engineering Lab,Petr/Eng,
PETE/GEOL elective,Petr/Eng,
Senior Design II,Petr/Eng,
Natural Gas Engineering,Petr/Eng,
Imp. Petroleum Recovery,Petr/Eng,
Risk Analysis,Petr/Eng,
Well Comp,Petr/Eng,
PETE elective,Petr/Eng,
,,
,,
,,
SOFT SKILLS,Auto/Eng,
CALCULUS AND SOLID GEOMETRY,Auto/Eng,
PHYSICS 3,Auto/Eng,
PHYSICS LABORATORY,Auto/Eng,
PRINCIPLES OF ENVIRONMENTAL Science,Auto/Eng,
ADVANCED CALCULUS AND COMPLEX ANALYSIS,Auto/Eng,
COMPLEX ANALYSIS,Auto/Eng,
MATERIALS SCIENCE,Auto/Eng,
CHEMISTRY,Auto/Eng,
CHEMISTRY LABORATORY,Auto/Eng,
ENGINEERING MECHANICS,Auto/Eng,
P ARTIFACT DISSECTION,Auto/Eng,
VALUE EDUCATION,Auto/Eng,
PROGRAMMING USING MATLAB,Auto/Eng,
BIOLOGY FOR ENGINEERS,Auto/Eng,
BASIC CIVIL ENGINEERING,Auto/Eng,
BASIC MECHANICAL ENGINEERING,Auto/Eng,
BASIC ELECTRICAL ENGINEERING,Auto/Eng,
BASIC ELECTRONICS ENGINEERING,Auto/Eng,
WORKSHOP PRACTICE,Auto/Eng,
E ENGINEERING GRAPHICS,Auto/Eng,
,,
GERMAN LANGUAGE PHASE I /,Auto/Eng,
FRENCH LANGUAGE PHASE I/,Auto/Eng,
JAPANESE LANGUAGE PHASE I /,Auto/Eng,
SPANISCH LANGUAGE PHASE I /,Auto/Eng,
MANDARIN LANGUAGE PHASE I,Auto/Eng,
"FOURIER SERIES, PARTIAL",Auto/Eng,
DIFFERENTIAL EQUATIONS AND IST APPLICATIONS,Auto/Eng,
MANUFACTURING TECHNOLOGY,Auto/Eng,
FLUID MECHANICS,Auto/Eng,
THERMODYNAMICS & ENGINEERING,Auto/Eng,
INSTRUMENTATION FOR AUTOMOBILE ENGINEERS,Auto/Eng,
FLUID DYNAMICS LABORATORY,Auto/Eng,
MANUFACTURING AND ASSEMBLY,Auto/Eng,
DRAWING,Auto/Eng,
MANUFACTURING LABORATORY FOR AUTOMOBILE ENGINEERS,Auto/Eng,
GERMAN LANGUAGE PHASE II /,Auto/Eng,
FRENCH LANGUAGE PHASE II/,Auto/Eng,
JAPANESE LANGUAGE PHASE II /,Auto/Eng,
SPANISCH LANGUAGE PHASE II /,Auto/Eng,
MANDARIN LANGUAGE PHASE II,Auto/Eng,
NUMERICAL METHODS,Auto/Eng,
MECHANICS OF SOLIDS,Auto/Eng,
MATERIALS TECHNOLOGY,Auto/Eng,
MACHINES AND MECHANISMS,Auto/Eng,
AUTOMOTIVE ENGINES,Auto/Eng,
STRENGTH OF MATERIALS LABORATORY,Auto/Eng,
MATERIALS TECHNOLOGY,Auto/Eng,
B PROBABILITY AND STATISTICS,Auto/Eng,
DESIGN OF AUTOMOTIVE COMPONENTS,Auto/Eng,
AUTOMOTIVE CHASSIS,Auto/Eng,
AUTOMOTIVE ENGINE SYSTEMS,Auto/Eng,
ENGINE AND FUEL TESTING LABORATORY,Auto/Eng,
AUTOMOTIVE COMPONENTS LABORATORY,Auto/Eng,
INDUSTRIAL TRAINING I,Auto/Eng,
,,
AUTOMOTIVE ELECTRICAL AND ELECTRONIC SYSTEMS,Auto/Eng,
METROLOGY AND QUALITY CONTROL,Auto/Eng,
AUTOMOTIVE TRANSMISSION,Auto/Eng,
METROLOGY AND QUALITY CONTROL LABORATORY,Auto/Eng,
AUTOMOTIVE ELECTRICAL AND ELECTRONICS LABORATORY,Auto/Eng,
ELECTRONICS LABORATORY,Auto/Eng,
Elective III,Auto/Eng,
Open Elective II,Auto/Eng,
Open Elective III,Auto/Eng,
ALTERNATIVE FUELS AND POLLUTION CONTROL,Auto/Eng,
VEHICLE DYNAMICS,Auto/Eng,
VEHICLE BODY ENGINEERING AND AERODYNAMICS,Auto/Eng,
VEHICLE PERFORMANCE AND TESTING,Auto/Eng,
VEHICLE DYNAMICS LABORATORY,Auto/Eng,
VEHICLE TESTING LABORATORY,Auto/Eng,
DESIGN FOR SAFETY AND COMFORT,Auto/Eng,
ENGINE AND DRIVE LINE DESIGN,Auto/Eng,
NEW PRODUCT DEVELOPMENT,Auto/Eng,
AUTOMOTIVE SYSTEM DESIGN,Auto/Eng,
COMPUTER AIDED VEHICLE DESIGN,Auto/Eng,
FINITE ELEMENT ANALYSIS,Auto/Eng,
